date,stock_id,open,high,low,close,volume,turnover,inst_foreign,inst_investment_trust,inst_dealer_self,inst_dealer_hedging
2025-05-15,6231,247.0,248.5,239.5,240.0,725172,175608887,0.0,0.0,0.0,0.0
2025-05-15,6643,559.0,559.0,549.0,552.0,760653,421181538,0.0,0.0,0.0,0.0
2025-05-15,8358,54.8,54.9,53.8,54.0,1578375,85762738,0.0,0.0,0.0,0.0
2025-05-15,8932,100.0,100.0,97.8,99.5,878686,86781234,0.0,0.0,0.0,0.0
2025-05-16,1519,499.5,520.0,496.0,496.0,11914144,6060219717,0.0,0.0,0.0,0.0
2025-05-16,2308,367.0,372.0,364.0,371.0,4417699,1631729611,0.0,0.0,0.0,0.0
2025-05-16,2344,18.1,18.2,17.8,17.95,49038144,881834077,0.0,0.0,0.0,0.0
2025-05-16,2379,522.0,522.0,513.0,518.0,2100391,1085697042,0.0,0.0,0.0,0.0
2025-05-16,2383,686.0,693.0,679.0,684.0,3473762,2379012761,0.0,0.0,0.0,0.0
2025-05-16,2454,1365.0,1375.0,1360.0,1365.0,3651046,4984158740,0.0,0.0,0.0,0.0
2025-05-16,3035,188.5,188.5,185.5,186.0,2931135,546516354,0.0,0.0,0.0,0.0
2025-05-16,3293,868.0,880.0,852.0,875.0,1808611,1579710506,0.0,0.0,0.0,0.0
2025-05-16,3535,34.55,35.4,33.85,33.85,1116289,38605543,0.0,0.0,0.0,0.0
2025-05-16,6231,241.5,241.5,235.0,235.5,506252,120171772,0.0,0.0,0.0,0.0
2025-05-16,6643,556.0,562.0,547.0,557.0,531163,295550017,0.0,0.0,0.0,0.0
2025-05-16,8358,53.6,54.2,53.3,53.5,955114,51248963,0.0,0.0,0.0,0.0
2025-05-16,8932,99.5,99.5,97.6,98.0,1118797,109818382,0.0,0.0,0.0,0.0
2025-05-19,1519,500.0,505.0,480.5,480.5,6421835,3159202739,0.0,0.0,0.0,0.0
2025-05-19,2308,367.0,369.0,362.0,363.0,4173391,1523421661,0.0,0.0,0.0,0.0
2025-05-19,2344,17.95,18.15,17.7,17.75,38023884,679193789,0.0,0.0,0.0,0.0
2025-05-19,2379,514.0,519.0,513.0,513.0,1407642,723992889,0.0,0.0,0.0,0.0
2025-05-19,2383,684.0,688.0,666.0,667.0,3419902,2311055018,0.0,0.0,0.0,0.0
2025-05-19,2454,1345.0,1350.0,1310.0,1310.0,7591783,10048326155,0.0,0.0,0.0,0.0
2025-05-19,3035,186.5,187.5,180.5,180.5,3522368,646128214,0.0,0.0,0.0,0.0
2025-05-19,3293,875.0,875.0,855.0,855.0,1661866,1429458938,0.0,0.0,0.0,0.0
2025-05-19,3535,34.0,34.0,33.0,33.25,529116,17640898,0.0,0.0,0.0,0.0
2025-05-19,6231,235.0,235.0,229.0,229.0,513743,118760998,0.0,0.0,0.0,0.0
2025-05-19,6643,553.0,555.0,532.0,532.0,522494,282183422,0.0,0.0,0.0,0.0
2025-05-19,8358,53.5,54.0,52.5,52.5,889238,47145524,0.0,0.0,0.0,0.0
2025-05-19,8932,98.0,98.6,96.5,97.4,560816,54549980,0.0,0.0,0.0,0.0
2025-05-20,1519,486.0,487.0,471.5,473.0,4060978,1936088716,0.0,0.0,0.0,0.0
