date,stock_id,volume,turnover,open,high,low,close,TaiwanStockPrice_spread,TaiwanStockPrice_transactions,inst_foreign,inst_investment_trust,inst_dealer_self,inst_dealer_hedging
2024-10-14,6231,1082000,537858000,498.5,508.0,487.0,498.5,-1.0,973,0.0,0.0,0.0,0.0
2024-10-14,6643,896000,776942000,889.0,897.0,849.0,863.0,-13.0,854,0.0,0.0,0.0,0.0
2024-10-14,8358,1228000,72328600,58.6,59.4,58.3,59.1,0.6,686,0.0,0.0,0.0,0.0
2024-10-14,8932,487000,42638800,89.4,89.9,85.9,86.2,-2.8,316,0.0,0.0,0.0,0.0
2024-10-15,1519,4475427,2736531743,615.0,622.0,605.0,612.0,-3.0,6476,0.0,0.0,0.0,0.0
2024-10-15,2308,12290154,4870930660,388.0,400.5,387.5,398.5,11.0,13202,0.0,0.0,0.0,0.0
2024-10-15,2344,16267249,331554564,20.15,20.5,20.15,20.35,0.25,5412,0.0,0.0,0.0,0.0
2024-10-15,2379,1248850,610767896,488.0,492.0,484.0,489.5,4.5,1567,0.0,0.0,0.0,0.0
2024-10-15,2383,5292619,2214869411,422.0,424.0,414.5,418.0,0.5,6503,0.0,0.0,0.0,0.0
2024-10-15,2454,6492009,8443064872,1310.0,1310.0,1290.0,1300.0,10.0,9409,0.0,0.0,0.0,0.0
2024-10-15,3035,6429886,1781661828,278.0,280.5,274.5,274.5,0.5,10216,0.0,0.0,0.0,0.0
2024-10-15,3293,3442000,3663910000,1070.0,1095.0,1045.0,1060.0,-20.0,3053,0.0,0.0,0.0,0.0
2024-10-15,3535,2173162,114794993,52.7,53.7,52.2,52.4,0.0,1853,0.0,0.0,0.0,0.0
2024-10-15,6231,2400000,1246259000,503.0,533.0,503.0,525.0,26.5,1993,0.0,0.0,0.0,0.0
2024-10-15,6643,627000,536881000,869.0,874.0,849.0,854.0,-9.0,592,0.0,0.0,0.0,0.0
2024-10-15,8358,736000,43686500,59.1,59.7,59.1,59.3,0.2,578,0.0,0.0,0.0,0.0
2024-10-15,8932,387000,33498100,86.1,87.6,85.8,86.2,0.0,242,0.0,0.0,0.0,0.0
