date,stock_id,buy,name,sell,foreign,investment_trust,dealer,dealer_self,dealer_hedging
2024-12-19,1519,5000,Investment_Trust,0,,,,,
2024-12-20,1519,1018742,Foreign_Investor,900022,,,,,
2024-12-20,1519,0,Foreign_Dealer_Self,0,,,,,
2024-12-20,1519,0,Investment_Trust,1119,,,,,
2024-12-20,1519,5839,Dealer_self,11239,,,,,
2024-12-20,1519,32221,Dealer_Hedging,30412,,,,,
2024-12-23,1519,470048,Foreign_Investor,789400,,,,,
2024-12-23,1519,0,Foreign_Dealer_Self,0,,,,,
2024-12-23,1519,1000,Investment_Trust,0,,,,,
2024-12-23,1519,24361,Dealer_self,14733,,,,,
2024-12-23,1519,21589,Dealer_Hedging,35153,,,,,
2024-12-24,1519,22000,Dealer_self,16058,,,,,
2024-12-24,1519,0,Investment_Trust,0,,,,,
2024-12-24,1519,11101,Dealer_Hedging,14464,,,,,
2024-12-24,1519,620695,Foreign_Investor,541000,,,,,
2024-12-24,1519,0,Foreign_Dealer_Self,0,,,,,
2024-12-25,1519,661005,Foreign_Investor,1101120,,,,,
2024-12-25,1519,0,Foreign_Dealer_Self,0,,,,,
2024-12-25,1519,0,Investment_Trust,24800,,,,,
2024-12-25,1519,18080,Dealer_self,2689,,,,,
2024-12-25,1519,8506,Dealer_Hedging,14452,,,,,
2024-12-26,1519,5421,Dealer_Hedging,5400,,,,,
2024-12-26,1519,8040,Dealer_self,1568,,,,,
2024-12-26,1519,0,Investment_Trust,99,,,,,
2024-12-26,1519,821020,Foreign_Investor,254045,,,,,
2024-12-26,1519,0,Foreign_Dealer_Self,0,,,,,
2024-12-27,1519,470055,Foreign_Investor,930116,,,,,
2024-12-27,1519,0,Foreign_Dealer_Self,0,,,,,
2024-12-27,1519,0,Investment_Trust,20000,,,,,
2024-12-27,1519,13078,Dealer_self,14538,,,,,
2024-12-27,1519,2000,Dealer_Hedging,9124,,,,,
2024-12-30,1519,117787,Dealer_self,45073,,,,,
2024-12-30,1519,0,Investment_Trust,109,,,,,
2024-12-30,1519,55020,Dealer_Hedging,8249,,,,,
2024-12-30,1519,2219020,Foreign_Investor,985223,,,,,
2024-12-30,1519,0,Foreign_Dealer_Self,0,,,,,
2024-12-31,1519,1356002,Foreign_Investor,661667,,,,,
2024-12-31,1519,0,Foreign_Dealer_Self,0,,,,,
2024-12-31,1519,50000,Investment_Trust,86900,,,,,
2024-12-31,1519,11856,Dealer_self,84488,,,,,
2024-12-31,1519,32404,Dealer_Hedging,33690,,,,,
2025-01-02,1519,13895,Dealer_Hedging,28053,,,,,
2025-01-02,1519,68724,Dealer_self,51684,,,,,
2025-01-02,1519,1192290,Foreign_Investor,1993960,,,,,
2025-01-02,1519,0,Foreign_Dealer_Self,0,,,,,
2025-01-02,1519,0,Investment_Trust,331239,,,,,
2025-01-03,1519,349643,Foreign_Investor,757573,,,,,
2025-01-03,1519,0,Foreign_Dealer_Self,0,,,,,
2025-01-03,1519,0,Investment_Trust,60000,,,,,
2025-01-03,1519,10000,Dealer_self,22344,,,,,
2025-01-03,1519,11338,Dealer_Hedging,15189,,,,,
2025-01-06,1519,19511,Dealer_self,3033,,,,,
2025-01-06,1519,13963,Dealer_Hedging,10761,,,,,
2025-01-06,1519,0,Investment_Trust,1300,,,,,
2025-01-06,1519,821607,Foreign_Investor,663500,,,,,
2025-01-06,1519,0,Foreign_Dealer_Self,0,,,,,
2025-01-07,1519,303644,Foreign_Investor,441482,,,,,
2025-01-07,1519,0,Foreign_Dealer_Self,0,,,,,
2025-01-07,1519,0,Investment_Trust,7000,,,,,
2025-01-07,1519,15000,Dealer_self,28004,,,,,
2025-01-07,1519,1600,Dealer_Hedging,14504,,,,,
2025-01-08,1519,5588,Dealer_Hedging,6527,,,,,
2025-01-08,1519,49000,Dealer_self,49358,,,,,
2025-01-08,1519,0,Investment_Trust,49119,,,,,
2025-01-08,1519,681262,Foreign_Investor,1542808,,,,,
2025-01-08,1519,0,Foreign_Dealer_Self,0,,,,,
2025-01-09,1519,488041,Foreign_Investor,901800,,,,,
2025-01-09,1519,0,Foreign_Dealer_Self,0,,,,,
2025-01-09,1519,0,Investment_Trust,8119,,,,,
2025-01-09,1519,81000,Dealer_self,111122,,,,,
2025-01-09,1519,9048,Dealer_Hedging,22398,,,,,
2025-01-10,1519,51511,Dealer_Hedging,36209,,,,,
2025-01-10,1519,145132,Dealer_self,147730,,,,,
2025-01-10,1519,0,Investment_Trust,283300,,,,,
2025-01-10,1519,0,Foreign_Dealer_Self,0,,,,,
