date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2025-08-04,3231,28549074,3425754981,121.5,122.0,119.0,119.5,-4.0,19276
2025-08-05,3231,40636588,5001154591,121.5,124.0,121.0,124.0,4.5,23142
2025-08-06,3231,20495773,2515456650,123.0,124.0,121.5,122.5,-1.5,15433
2025-08-07,3231,26713279,3289158619,124.0,124.0,122.5,123.5,1.0,16700
2025-08-08,3231,33491512,4147122690,124.0,124.5,122.5,124.5,1.0,18342
2025-08-11,3231,69362778,8753413940,126.0,128.0,123.0,127.5,3.0,38741
2025-08-12,3231,37804573,4753106369,127.5,127.5,124.5,126.0,-1.5,21273
2025-08-13,3231,171137552,20501091618,124.0,124.0,117.0,117.5,-8.5,114586
2025-08-14,3231,58027625,6785775860,117.5,118.0,115.5,116.5,-1.0,34389
2025-08-15,3231,49554806,5778619919,117.5,118.0,116.0,116.5,0.0,27217
2025-08-18,3231,41642028,4821970764,117.0,117.5,114.5,116.0,-0.5,31513
