date,stock_id,-,BadDebts,ComprehensiveIncomeConsolidatedNetIncomeAttributedNonControllingInterest,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent,Expense,GrossProfit,Income,IncomeAfterTax,IncomeAfterTaxes,IncomeBeforeTaxFromContinuingOperations,IncomeFromContinuingOperations,IncomeLossFromDiscontinuedOperation,NetChangeInProvisionsForInsuranceLiabilities,NetInterestIncome,NetNonInterestIncome,NoncontrollingInterests,OTHNOE,OperatingExpenses,OperatingIncome,OtherComprehensiveIncome,OtherComprehensiveIncomeAfterTax,OtherComprehensiveIncomeAfterTaxThePeriod,PreTaxIncome,RealizedGain,Revenue,TAX,TotalConsolidatedProfitForThePeriod,TotalNonbusinessIncome,TotalNonoperatingIncomeAndExpense,UnrealizedGain
2025-06-30,1603,,,2910000.0,1226514000.0,0.97,153060000.0,,198555000.0,,,153099000.0,,153099000.0,,,,,39000.0,8109000.0,37012000.0,169652000.0,138410000.0,,,194226000.0,,1425069000.0,41127000.0,291509000.0,,24574000.0,
2023-09-30,1605,,,207104000.0,42680880000.0,0.41,1634513000.0,,3664973000.0,,,1729812000.0,,1729812000.0,,,,,95299000.0,,1943138000.0,1721835000.0,2010748000.0,,,1812008000.0,,46345853000.0,82196000.0,3740560000.0,,90173000.0,
2023-12-31,1605,,,-241386000.0,40857912000.0,0.08,383800000.0,,2475323000.0,,,366936000.0,,366936000.0,,,,,-16864000.0,,2359885000.0,115438000.0,-3519690000.0,,,358435000.0,,43333235000.0,-8501000.0,-3152754000.0,,242997000.0,
2024-03-31,1605,,,-111129000.0,37891440000.0,0.22,870406000.0,,2658397000.0,,,799736000.0,,799736000.0,,,,,-70670000.0,,2171455000.0,486942000.0,4417478000.0,,,671948000.0,,40549837000.0,-127788000.0,5217214000.0,,185006000.0,
2024-06-30,1605,,,454455000.0,44146453000.0,0.55,2246756000.0,,4167357000.0,,,2310431000.0,,2310431000.0,,,,,63675000.0,,2424000000.0,1743357000.0,-257842000.0,,,2787715000.0,,48313810000.0,477284000.0,2052589000.0,,1044358000.0,
2024-09-30,1605,,,282372000.0,41316967000.0,0.07,256936000.0,,2485389000.0,,,44406000.0,,44406000.0,,,,,-212530000.0,,2453153000.0,32236000.0,-2839273000.0,,,-103143000.0,,43802356000.0,-147549000.0,-2794867000.0,,-135379000.0,
2024-12-31,1605,,,-52283000.0,44278789000.0,-0.15,-584044000.0,,2373548000.0,,,-556083000.0,,-556083000.0,,,,,27961000.0,,2468314000.0,-94766000.0,-1789441000.0,,,-845529000.0,,46652337000.0,-289446000.0,-2345524000.0,,-750763000.0,
2025-03-31,1605,,,330168000.0,41144288000.0,0.17,679074000.0,,3698823000.0,,,608642000.0,,608642000.0,,,,,-70432000.0,,2748664000.0,950159000.0,939814000.0,,,736796000.0,,44843111000.0,128154000.0,1548456000.0,,-213363000.0,
2025-06-30,1605,,,-952836000.0,43047581000.0,0.12,488450000.0,,3383386000.0,,,365577000.0,,365577000.0,,,,,-122873000.0,,2885802000.0,497584000.0,-11717212000.0,,,383995000.0,,46430967000.0,18418000.0,-11351635000.0,,-113589000.0,
2023-09-30,1721,,,0.0,563759000.0,-0.42,-77469000.0,,-41238000.0,,,-77469000.0,,-77469000.0,,,,,0.0,,53769000.0,-95007000.0,809000.0,,,-84302000.0,,522521000.0,-6833000.0,-76660000.0,,10705000.0,
2023-12-31,1721,,,0.0,550336000.0,-0.35,-65391000.0,,37644000.0,,,-65391000.0,,-65391000.0,,,,,0.0,,48120000.0,-10476000.0,5954000.0,,,-55100000.0,,587980000.0,10291000.0,-59437000.0,,-44624000.0,
2024-03-31,1721,,,,568154000.0,-0.44,-81076000.0,,-27871000.0,,,-81076000.0,,-81076000.0,,,,,,,48479000.0,-76350000.0,1711000.0,,,-76235000.0,,540283000.0,4841000.0,-79365000.0,,115000.0,
